Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Liechtenstein,Europe,38139.0,89,1980.5,1.0,300.0,85.0,1706.0,3.0,538.7768595041322,2334.0,26.0,900.0,23598.0
Belize,North America,398312.0,86,1980.5,2.0,300.0,31.0,1706.0,53.0,2.0,216.0,5.0,3679.0,9236.0
French Polynesia,Australia/Oceania,281072.0,64,1980.5,3812.8021390374333,300.0,62.0,1706.0,2.0,538.7768595041322,228.0,98.68117647058823,5849.0,20810.0
St. Vincent Grenadines,North America,110976.0,56,1980.5,3812.8021390374333,300.0,46.0,1706.0,10.0,538.7768595041322,505.0,98.68117647058823,2447.0,22050.0
Saint Martin,North America,38729.0,53,1980.5,3.0,300.0,41.0,1706.0,9.0,1.0,1368.0,77.0,1183.0,30546.0
Macao,Asia,650193.0,46,1980.5,3812.8021390374333,300.0,46.0,1706.0,0.0,538.7768595041322,71.0,98.68117647058823,4071.0,6261.0
Curaçao,North America,164161.0,31,1980.5,1.0,300.0,28.0,1706.0,2.0,538.7768595041322,189.0,6.0,1080.0,6579.0
Fiji,Australia/Oceania,897095.0,27,1980.5,1.0,300.0,18.0,1706.0,8.0,538.7768595041322,30.0,1.0,6693.0,7461.0
Saint Lucia,North America,183712.0,25,1980.5,3812.8021390374333,300.0,24.0,1706.0,1.0,538.7768595041322,136.0,98.68117647058823,3895.0,21202.0
Timor-Leste,Asia,1320812.0,25,1980.5,3812.8021390374333,300.0,24.0,1706.0,1.0,538.7768595041322,19.0,98.68117647058823,4238.0,3209.0
Grenada,North America,112576.0,24,1980.5,3812.8021390374333,300.0,23.0,1706.0,1.0,538.7768595041322,213.0,98.68117647058823,6252.0,55536.0
New Caledonia,Australia/Oceania,285769.0,22,1980.5,3812.8021390374333,300.0,22.0,1706.0,0.0,538.7768595041322,77.0,98.68117647058823,11099.0,38839.0
Laos,Asia,7285750.0,20,1980.5,3812.8021390374333,300.0,19.0,1706.0,1.0,538.7768595041322,3.0,98.68117647058823,29374.0,4032.0
Dominica,North America,72004.0,18,1980.5,3812.8021390374333,300.0,18.0,1706.0,0.0,538.7768595041322,250.0,98.68117647058823,1005.0,13958.0
Saint Kitts and Nevis,North America,53237.0,17,1980.5,3812.8021390374333,300.0,16.0,1706.0,1.0,538.7768595041322,319.0,98.68117647058823,1146.0,21526.0
Greenland,North America,56780.0,14,1980.5,3812.8021390374333,300.0,14.0,1706.0,0.0,538.7768595041322,247.0,98.68117647058823,5977.0,105266.0
Montserrat,North America,4992.0,13,1980.5,1.0,300.0,10.0,1706.0,2.0,538.7768595041322,2604.0,200.0,61.0,12220.0
Caribbean Netherlands,North America,26247.0,13,1980.5,3812.8021390374333,300.0,7.0,1706.0,6.0,538.7768595041322,495.0,98.68117647058823,424.0,16154.0
Falkland Islands,South America,3489.0,13,1980.5,3812.8021390374333,300.0,13.0,1706.0,0.0,538.7768595041322,3726.0,98.68117647058823,1816.0,520493.0
Vatican City,Europe,801.0,12,1980.5,3812.8021390374333,300.0,12.0,1706.0,0.0,538.7768595041322,14981.0,98.68117647058823,1402404.7015706806,83959.3664921466
Western Sahara,Africa,598682.0,10,1980.5,1.0,300.0,8.0,1706.0,1.0,538.7768595041322,17.0,2.0,1402404.7015706806,83959.3664921466
