Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Nigeria,Africa,206606300.0,45244,1980.5,930.0,300.0,32430.0,1706.0,11884.0,7.0,219.0,5.0,306894.0,1485.0
Honduras,North America,9919704.0,45098,1980.5,1423.0,300.0,6116.0,1706.0,37559.0,52.0,4546.0,143.0,109292.0,11018.0
Bahrain,Asia,1706669.0,42889,1980.5,156.0,300.0,39945.0,1706.0,2788.0,41.0,25130.0,91.0,876700.0,513691.0
Japan,Asia,126435859.0,42263,1980.5,1026.0,300.0,28877.0,1706.0,12360.0,115.0,334.0,8.0,938739.0,7425.0
Armenia,Asia,2963811.0,39819,1980.5,772.0,300.0,31556.0,1706.0,7491.0,538.7768595041322,13435.0,260.0,171600.0,57898.0
Ghana,Africa,31133483.0,39642,1980.5,199.0,300.0,36384.0,1706.0,3059.0,7.0,1273.0,6.0,405817.0,13035.0
Kyrgyzstan,Asia,6534479.0,38659,1980.5,1447.0,300.0,30099.0,1706.0,7113.0,24.0,5916.0,221.0,267718.0,40970.0
Afghanistan,Asia,39009447.0,36896,1980.5,1298.0,300.0,25840.0,1706.0,9758.0,31.0,946.0,33.0,90396.0,2317.0
Switzerland,Europe,8660952.0,36108,1980.5,1985.0,300.0,31600.0,1706.0,2523.0,23.0,4169.0,229.0,822764.0,94997.0
Algeria,Africa,43926079.0,33626,1980.5,1273.0,300.0,23238.0,1706.0,9115.0,57.0,766.0,29.0,1402404.7015706806,83959.3664921466
Azerbaijan,Asia,10148243.0,33247,1980.5,479.0,300.0,29275.0,1706.0,3493.0,66.0,3276.0,47.0,766179.0,75499.0
Morocco,Africa,36953359.0,29644,1980.5,449.0,300.0,20553.0,1706.0,8642.0,31.0,802.0,12.0,1383816.0,37448.0
Uzbekistan,Asia,33516027.0,28315,1980.5,175.0,300.0,19291.0,1706.0,8849.0,228.0,845.0,5.0,1377915.0,41112.0
Serbia,Europe,8733665.0,27332,1980.5,621.0,300.0,14047.0,1706.0,12664.0,120.0,3129.0,71.0,723137.0,82799.0
Moldova,Europe,4032983.0,26628,1980.5,828.0,300.0,18676.0,1706.0,7124.0,362.0,6603.0,205.0,128076.0,31757.0
Ireland,Europe,4943200.0,26372,1980.5,1768.0,300.0,23364.0,1706.0,1240.0,5.0,5335.0,358.0,652917.0,132084.0
